Date,State,TotalSamples,Negative,Positive
2020-06-30,Andaman and Nicobar Islands,15709.0,,97.0
2020-07-01,Andaman and Nicobar Islands,15982.0,,100.0
2020-07-02,Andaman and Nicobar Islands,16278.0,,109.0
2020-07-03,Andaman and Nicobar Islands,16626.0,,116.0
2020-07-04,Andaman and Nicobar Islands,16832.0,,119.0
2020-07-05,Andaman and Nicobar Islands,16909.0,,125.0
2020-07-06,Andaman and Nicobar Islands,17095.0,,141.0
2020-07-07,Andaman and Nicobar Islands,17381.0,,147.0
2020-07-08,Andaman and Nicobar Islands,17643.0,,149.0
2020-07-09,Andaman and Nicobar Islands,17852.0,,151.0
2020-07-10,Andaman and Nicobar Islands,18046.0,,156.0
2020-07-11,Andaman and Nicobar Islands,18315.0,,163.0
2020-07-12,Andaman and Nicobar Islands,18447.0,,163.0
2020-07-13,Andaman and Nicobar Islands,18609.0,,166.0
2020-07-14,Andaman and Nicobar Islands,18884.0,,171.0
2020-07-15,Andaman and Nicobar Islands,19061.0,,176.0
2020-07-16,Andaman and Nicobar Islands,19227.0,,180.0
2020-07-17,Andaman and Nicobar Islands,19421.0,,194.0
2020-07-18,Andaman and Nicobar Islands,19671.0,,198.0
2020-07-19,Andaman and Nicobar Islands,19904.0,,203.0
2020-07-20,Andaman and Nicobar Islands,20301.0,,207.0
2020-07-21,Andaman and Nicobar Islands,20642.0,,212.0
2020-07-22,Andaman and Nicobar Islands,21043.0,,221.0
2020-07-23,Andaman and Nicobar Islands,21310.0,,240.0
2020-07-24,Andaman and Nicobar Islands,21743.0,,259.0
2020-07-25,Andaman and Nicobar Islands,21965.0,,290.0
2020-07-26,Andaman and Nicobar Islands,22049.0,,324.0
2020-07-27,Andaman and Nicobar Islands,22548.0,,338.0
2020-07-28,Andaman and Nicobar Islands,22925.0,,363.0
2020-07-29,Andaman and Nicobar Islands,23217.0,,428.0
2020-07-30,Andaman and Nicobar Islands,23615.0,,471.0
2020-07-31,Andaman and Nicobar Islands,24038.0,,548.0
2020-08-01,Andaman and Nicobar Islands,24308.0,,636.0
2020-08-02,Andaman and Nicobar Islands,24580.0,,734.0
2020-08-03,Andaman and Nicobar Islands,25034.0,,830.0
2020-08-04,Andaman and Nicobar Islands,25492.0,,928.0
2020-08-05,Andaman and Nicobar Islands,25826.0,,1027.0
2020-08-06,Andaman and Nicobar Islands,26516.0,,1123.0
2020-08-07,Andaman and Nicobar Islands,26915.0,,1222.0
2020-08-08,Andaman and Nicobar Islands,27073.0,,1351.0
2020-08-09,Andaman and Nicobar Islands,27103.0,,1490.0
2020-08-10,Andaman and Nicobar Islands,27346.0,,1625.0
2020-08-11,Andaman and Nicobar Islands,27455.0,,1764.0
2020-08-12,Andaman and Nicobar Islands,27744.0,,1900.0
2020-08-13,Andaman and Nicobar Islands,27973.0,,2037.0
2020-08-14,Andaman and Nicobar Islands,28129.0,,2186.0
2020-08-15,Andaman and Nicobar Islands,28209.0,,2306.0
2020-08-16,Andaman and Nicobar Islands,28229.0,,2399.0
2020-08-17,Andaman and Nicobar Islands,28672.0,,2445.0
2020-08-18,Andaman and Nicobar Islands,28937.0,,2529.0
2020-08-19,Andaman and Nicobar Islands,29303.0,,2604.0
2020-08-20,Andaman and Nicobar Islands,29487.0,,2680.0
2020-08-21,Andaman and Nicobar Islands,29573.0,,2747.0
2020-08-22,Andaman and Nicobar Islands,29888.0,,2808.0
2020-08-23,Andaman and Nicobar Islands,30278.0,,2860.0
2020-08-24,Andaman and Nicobar Islands,30513.0,,2904.0
2020-08-25,Andaman and Nicobar Islands,31082.0,,2945.0
2020-08-26,Andaman and Nicobar Islands,31646.0,,2985.0
2020-08-27,Andaman and Nicobar Islands,31830.0,,3018.0
2020-08-28,Andaman and Nicobar Islands,32100.0,,3050.0
2020-08-29,Andaman and Nicobar Islands,32407.0,,3081.0
2020-08-30,Andaman and Nicobar Islands,32674.0,,3104.0
2020-08-31,Andaman and Nicobar Islands,33485.0,,3132.0
2020-09-01,Andaman and Nicobar Islands,35104.0,,3160.0
2020-09-02,Andaman and Nicobar Islands,36136.0,,
2020-09-03,Andaman and Nicobar Islands,37075.0,,3223.0
2020-09-04,Andaman and Nicobar Islands,37825.0,,3257.0
2020-09-05,Andaman and Nicobar Islands,38574.0,,3292.0
2020-09-06,Andaman and Nicobar Islands,39205.0,,3332.0
2020-09-07,Andaman and Nicobar Islands,39995.0,,3359.0
2020-09-08,Andaman and Nicobar Islands,41039.0,,3392.0
2020-09-09,Andaman and Nicobar Islands,41776.0,,3426.0
2020-09-10,Andaman and Nicobar Islands,42792.0,,3465.0
2020-09-11,Andaman and Nicobar Islands,43680.0,,3494.0
2020-09-12,Andaman and Nicobar Islands,44570.0,,3521.0
2020-09-13,Andaman and Nicobar Islands,45279.0,,3546.0
2020-09-14,Andaman and Nicobar Islands,45987.0,,3557.0
2020-09-15,Andaman and Nicobar Islands,46823.0,,3574.0
2020-09-16,Andaman and Nicobar Islands,47794.0,,3593.0
2020-09-17,Andaman and Nicobar Islands,48861.0,,3604.0
2020-09-18,Andaman and Nicobar Islands,50035.0,,3631.0
2020-09-19,Andaman and Nicobar Islands,50681.0,,3644.0
2020-09-20,Andaman and Nicobar Islands,51262.0,,3651.0
2020-09-21,Andaman and Nicobar Islands,52220.0,,3673.0
2020-09-22,Andaman and Nicobar Islands,52845.0,,3691.0
2020-09-23,Andaman and Nicobar Islands,53591.0,,3712.0
2020-09-24,Andaman and Nicobar Islands,52992.0,,3744.0
2020-09-25,Andaman and Nicobar Islands,55169.0,,3759.0
2020-09-26,Andaman and Nicobar Islands,56059.0,,3774.0
2020-09-27,Andaman and Nicobar Islands,56661.0,,3794.0
2020-09-28,Andaman and Nicobar Islands,57343.0,,3803.0
2020-09-29,Andaman and Nicobar Islands,58135.0,,3821.0
2020-09-30,Andaman and Nicobar Islands,58763.0,,3835.0
2020-10-01,Andaman and Nicobar Islands,59676.0,,3848.0
2020-10-02,Andaman and Nicobar Islands,60437.0,,3858.0
2020-10-03,Andaman and Nicobar Islands,61231.0,,3868.0
2020-10-04,Andaman and Nicobar Islands,62103.0,,3884.0
2020-10-05,Andaman and Nicobar Islands,63009.0,,3899.0
2020-10-06,Andaman and Nicobar Islands,63790.0,,3912.0
2020-10-07,Andaman and Nicobar Islands,65111.0,,3935.0
2020-10-08,Andaman and Nicobar Islands,66244.0,,3952.0
2020-10-09,Andaman and Nicobar Islands,67332.0,,3976.0
2020-10-10,Andaman and Nicobar Islands,68464.0,,3992.0
2020-10-11,Andaman and Nicobar Islands,69146.0,,4005.0
2020-10-12,Andaman and Nicobar Islands,69932.0,,4023.0
2020-10-13,Andaman and Nicobar Islands,70780.0,,4036.0
2020-10-14,Andaman and Nicobar Islands,71624.0,,4046.0
2020-10-15,Andaman and Nicobar Islands,72525.0,,4062.0
2020-10-16,Andaman and Nicobar Islands,73363.0,,4072.0
2020-10-17,Andaman and Nicobar Islands,74277.0,,4083.0
2020-10-18,Andaman and Nicobar Islands,75030.0,,4108.0
2020-10-19,Andaman and Nicobar Islands,75977.0,,4126.0
2020-10-20,Andaman and Nicobar Islands,77200.0,,4141.0
2020-10-21,Andaman and Nicobar Islands,78303.0,,4168.0
2020-10-22,Andaman and Nicobar Islands,79301.0,,4184.0
2020-10-23,Andaman and Nicobar Islands,80768.0,,4207.0
2020-10-24,Andaman and Nicobar Islands,81880.0,,4225.0
2020-10-25,Andaman and Nicobar Islands,82626.0,,4245.0
2020-10-26,Andaman and Nicobar Islands,83115.0,,4253.0
2020-10-27,Andaman and Nicobar Islands,84308.0,,4274.0
2020-10-28,Andaman and Nicobar Islands,85378.0,,4289.0
2020-10-29,Andaman and Nicobar Islands,86715.0,,4305.0
2020-10-30,Andaman and Nicobar Islands,87789.0,,4317.0
2020-10-31,Andaman and Nicobar Islands,88453.0,,4332.0
2020-11-01,Andaman and Nicobar Islands,89559.0,,4340.0
2020-11-02,Andaman and Nicobar Islands,90901.0,,4352.0
2020-11-03,Andaman and Nicobar Islands,92249.0,,4372.0
2020-11-04,Andaman and Nicobar Islands,93406.0,,4389.0
2020-11-05,Andaman and Nicobar Islands,94639.0,,4403.0
2020-11-06,Andaman and Nicobar Islands,96214.0,,4420.0
2020-11-07,Andaman and Nicobar Islands,97603.0,,4441.0
2020-11-08,Andaman and Nicobar Islands,98812.0,,4450.0
2020-11-09,Andaman and Nicobar Islands,100025.0,,4463.0
2020-11-10,Andaman and Nicobar Islands,101226.0,,4477.0
2020-11-11,Andaman and Nicobar Islands,102433.0,,4494.0
2020-11-12,Andaman and Nicobar Islands,103599.0,,4507.0
2020-11-13,Andaman and Nicobar Islands,104785.0,,4518.0
2020-11-14,Andaman and Nicobar Islands,105699.0,,4527.0
2020-11-15,Andaman and Nicobar Islands,106734.0,,4536.0
2020-11-16,Andaman and Nicobar Islands,108080.0,,4557.0
2020-11-17,Andaman and Nicobar Islands,109646.0,,4574.0
2020-11-18,Andaman and Nicobar Islands,111166.0,,4593.0
2020-11-19,Andaman and Nicobar Islands,112792.0,,4604.0
2020-11-20,Andaman and Nicobar Islands,114392.0,,4617.0
2020-11-21,Andaman and Nicobar Islands,115968.0,,4631.0
2020-11-22,Andaman and Nicobar Islands,117093.0,,4641.0
2020-11-23,Andaman and Nicobar Islands,118654.0,,4656.0
2020-11-24,Andaman and Nicobar Islands,120324.0,,4667.0
2020-11-25,Andaman and Nicobar Islands,121931.0,,4677.0
2020-11-26,Andaman and Nicobar Islands,123165.0,,4682.0
2020-11-27,Andaman and Nicobar Islands,124832.0,,4689.0
2020-11-28,Andaman and Nicobar Islands,126331.0,,4698.0
2020-11-29,Andaman and Nicobar Islands,127912.0,,4704.0
2020-11-30,Andaman and Nicobar Islands,129389.0,,4710.0
2020-12-01,Andaman and Nicobar Islands,131080.0,,4718.0
2020-12-02,Andaman and Nicobar Islands,132784.0,,4723.0
2020-12-03,Andaman and Nicobar Islands,134355.0,,4729.0
2020-12-04,Andaman and Nicobar Islands,135952.0,,4742.0
2020-12-05,Andaman and Nicobar Islands,137648.0,,4747.0
2020-12-06,Andaman and Nicobar Islands,139326.0,,4758.0
2020-12-07,Andaman and Nicobar Islands,140961.0,,4773.0
2020-12-08,Andaman and Nicobar Islands,142667.0,,4778.0
2020-12-09,Andaman and Nicobar Islands,144401.0,,4783.0
2020-12-10,Andaman and Nicobar Islands,146143.0,,4791.0
2020-12-11,Andaman and Nicobar Islands,147806.0,,4798.0
2020-12-12,Andaman and Nicobar Islands,149926.0,,4805.0
2020-12-13,Andaman and Nicobar Islands,152004.0,,4818.0
2020-12-14,Andaman and Nicobar Islands,153685.0,,4834.0
2020-12-15,Andaman and Nicobar Islands,155454.0,,4842.0
2020-12-16,Andaman and Nicobar Islands,157242.0,,4850.0
2020-12-17,Andaman and Nicobar Islands,159027.0,,4860.0
2020-12-18,Andaman and Nicobar Islands,160856.0,,4869.0
2020-12-19,Andaman and Nicobar Islands,162821.0,,4875.0
2020-12-20,Andaman and Nicobar Islands,165024.0,,4881.0
2020-12-21,Andaman and Nicobar Islands,166845.0,,4888.0
2020-12-22,Andaman and Nicobar Islands,168769.0,,4893.0
2020-12-23,Andaman and Nicobar Islands,170666.0,,4896.0
2020-12-24,Andaman and Nicobar Islands,172756.0,,4901.0
2020-12-25,Andaman and Nicobar Islands,174482.0,,4912.0
2020-12-26,Andaman and Nicobar Islands,175578.0,,4912.0
2020-12-27,Andaman and Nicobar Islands,176898.0,,4924.0
2020-12-28,Andaman and Nicobar Islands,177926.0,,4929.0
2020-12-29,Andaman and Nicobar Islands,179444.0,,4936.0
2020-12-30,Andaman and Nicobar Islands,180626.0,,4941.0
2020-12-31,Andaman and Nicobar Islands,181640.0,,4945.0
2021-01-01,Andaman and Nicobar Islands,182631.0,,4946.0
2021-01-02,Andaman and Nicobar Islands,183725.0,,4947.0
2021-01-03,Andaman and Nicobar Islands,184955.0,,4948.0
2021-01-04,Andaman and Nicobar Islands,186140.0,,4948.0
2021-01-05,Andaman and Nicobar Islands,187115.0,,4949.0
2021-01-06,Andaman and Nicobar Islands,188351.0,,4949.0
2021-01-07,Andaman and Nicobar Islands,190031.0,,4958.0
2021-01-08,Andaman and Nicobar Islands,191206.0,,4959.0
2021-01-09,Andaman and Nicobar Islands,192560.0,,4959.0
2021-01-10,Andaman and Nicobar Islands,193719.0,,4960.0
2021-01-11,Andaman and Nicobar Islands,195351.0,,4963.0
2021-01-12,Andaman and Nicobar Islands,196859.0,,4966.0
2021-01-13,Andaman and Nicobar Islands,198478.0,,4969.0
2021-01-14,Andaman and Nicobar Islands,199805.0,,4976.0
2021-01-15,Andaman and Nicobar Islands,200953.0,,4979.0
2021-01-16,Andaman and Nicobar Islands,202521.0,,4982.0
2021-01-17,Andaman and Nicobar Islands,203741.0,,4983.0
2021-01-18,Andaman and Nicobar Islands,205411.0,,4988.0
2021-01-19,Andaman and Nicobar Islands,206732.0,,4989.0
2021-01-20,Andaman and Nicobar Islands,208179.0,,4991.0
2021-01-21,Andaman and Nicobar Islands,209437.0,,4991.0
2021-01-22,Andaman and Nicobar Islands,210762.0,,4992.0
2021-01-23,Andaman and Nicobar Islands,212393.0,,4993.0
2021-01-24,Andaman and Nicobar Islands,213467.0,,4993.0
2021-01-25,Andaman and Nicobar Islands,214915.0,,4994.0
2021-01-26,Andaman and Nicobar Islands,215858.0,,4994.0
2021-01-27,Andaman and Nicobar Islands,217007.0,,4994.0
2021-01-28,Andaman and Nicobar Islands,218629.0,,4994.0
2021-01-29,Andaman and Nicobar Islands,220484.0,,4994.0
2021-01-30,Andaman and Nicobar Islands,221876.0,,4994.0
2021-01-31,Andaman and Nicobar Islands,223137.0,,4994.0
2021-02-01,Andaman and Nicobar Islands,224852.0,,4994.0
2021-02-02,Andaman and Nicobar Islands,226584.0,,4994.0
2021-02-03,Andaman and Nicobar Islands,228290.0,,4994.0
2021-02-04,Andaman and Nicobar Islands,230133.0,,4994.0
2021-02-05,Andaman and Nicobar Islands,231633.0,,4997.0
2021-02-06,Andaman and Nicobar Islands,233597.0,,5000.0
2021-02-07,Andaman and Nicobar Islands,235072.0,,5001.0
2021-02-08,Andaman and Nicobar Islands,236643.0,,5005.0
2021-02-09,Andaman and Nicobar Islands,238339.0,,5007.0
2021-02-10,Andaman and Nicobar Islands,240362.0,,5007.0
2021-02-11,Andaman and Nicobar Islands,241833.0,,5007.0
2021-02-12,Andaman and Nicobar Islands,243631.0,,5007.0
2021-02-13,Andaman and Nicobar Islands,245745.0,,5009.0
2021-02-14,Andaman and Nicobar Islands,247289.0,,5009.0
2021-02-15,Andaman and Nicobar Islands,248562.0,,5009.0
2021-02-16,Andaman and Nicobar Islands,250037.0,,5013.0
2021-02-17,Andaman and Nicobar Islands,251774.0,,5014.0
2021-02-18,Andaman and Nicobar Islands,253718.0,,5014.0
2021-02-19,Andaman and Nicobar Islands,255675.0,,5014.0
2021-02-20,Andaman and Nicobar Islands,257213.0,,5014.0
2021-02-21,Andaman and Nicobar Islands,258773.0,,5014.0
2021-02-22,Andaman and Nicobar Islands,260324.0,,5015.0
2021-02-23,Andaman and Nicobar Islands,261719.0,,5016.0
2021-02-24,Andaman and Nicobar Islands,263090.0,,5016.0
2021-02-25,Andaman and Nicobar Islands,264369.0,,5016.0
2021-02-26,Andaman and Nicobar Islands,265852.0,,5017.0
2021-02-27,Andaman and Nicobar Islands,267209.0,,5018.0
2021-02-28,Andaman and Nicobar Islands,268499.0,,5020.0
2021-03-01,Andaman and Nicobar Islands,269799.0,,5020.0
2021-03-02,Andaman and Nicobar Islands,271193.0,,5020.0
2021-03-03,Andaman and Nicobar Islands,273010.0,,5022.0
2021-03-04,Andaman and Nicobar Islands,274849.0,,5024.0
2021-03-05,Andaman and Nicobar Islands,276471.0,,5024.0
2021-03-06,Andaman and Nicobar Islands,278437.0,,5024.0
2021-03-07,Andaman and Nicobar Islands,280041.0,,
2021-03-08,Andaman and Nicobar Islands,281955.0,,5026.0
2021-03-09,Andaman and Nicobar Islands,283492.0,,5028.0
2021-03-10,Andaman and Nicobar Islands,285087.0,,5028.0
2021-03-11,Andaman and Nicobar Islands,286505.0,,5028.0
2021-03-12,Andaman and Nicobar Islands,288197.0,,5029.0
2021-03-13,Andaman and Nicobar Islands,290341.0,,5030.0
2021-03-14,Andaman and Nicobar Islands,291842.0,,5031.0
2021-03-15,Andaman and Nicobar Islands,294094.0,,5031.0
2021-03-16,Andaman and Nicobar Islands,295827.0,,5032.0
2021-03-17,Andaman and Nicobar Islands,297433.0,,5035.0
2021-03-18,Andaman and Nicobar Islands,299048.0,,5036.0
2021-03-19,Andaman and Nicobar Islands,300892.0,,5038.0
2021-03-20,Andaman and Nicobar Islands,302566.0,,5038.0
2021-03-21,Andaman and Nicobar Islands,304391.0,,5039.0
2021-03-22,Andaman and Nicobar Islands,305778.0,,5039.0
2021-03-23,Andaman and Nicobar Islands,307255.0,,5039.0
2021-03-24,Andaman and Nicobar Islands,308812.0,,5041.0
2021-03-25,Andaman and Nicobar Islands,310615.0,,5042.0
2021-03-26,Andaman and Nicobar Islands,312378.0,,5043.0
2021-03-27,Andaman and Nicobar Islands,314309.0,,5044.0
2021-03-28,Andaman and Nicobar Islands,315818.0,,5046.0
2021-03-29,Andaman and Nicobar Islands,317137.0,,5052.0
2021-03-30,Andaman and Nicobar Islands,318382.0,,5081.0
2021-03-31,Andaman and Nicobar Islands,319864.0,,5083.0
2021-04-01,Andaman and Nicobar Islands,321456.0,,5084.0
2021-04-02,Andaman and Nicobar Islands,323001.0,,5084.0
2021-04-03,Andaman and Nicobar Islands,324207.0,,5098.0
2021-04-04,Andaman and Nicobar Islands,325826.0,,5109.0
2021-04-05,Andaman and Nicobar Islands,327270.0,,5116.0
2021-04-06,Andaman and Nicobar Islands,328737.0,,5123.0
2021-04-07,Andaman and Nicobar Islands,330481.0,,5131.0
2021-04-08,Andaman and Nicobar Islands,332119.0,,5149.0
2021-04-09,Andaman and Nicobar Islands,333671.0,,5161.0
2021-04-10,Andaman and Nicobar Islands,335784.0,,5175.0
2021-04-11,Andaman and Nicobar Islands,337833.0,,5190.0
2021-04-12,Andaman and Nicobar Islands,339482.0,,5201.0
2021-04-13,Andaman and Nicobar Islands,341557.0,,5209.0
2021-04-14,Andaman and Nicobar Islands,343431.0,,5247.0
2021-04-15,Andaman and Nicobar Islands,345485.0,,5262.0
2021-04-16,Andaman and Nicobar Islands,347489.0,,5289.0
2021-04-17,Andaman and Nicobar Islands,349739.0,,5331.0
2021-04-18,Andaman and Nicobar Islands,352086.0,,5390.0
2021-04-19,Andaman and Nicobar Islands,353754.0,,5421.0
2021-04-20,Andaman and Nicobar Islands,355507.0,,5466.0
2021-04-21,Andaman and Nicobar Islands,357442.0,,5490.0
2021-04-22,Andaman and Nicobar Islands,358903.0,,5527.0
2021-04-23,Andaman and Nicobar Islands,360595.0,,5569.0
2021-04-24,Andaman and Nicobar Islands,361594.0,,5614.0
2021-04-25,Andaman and Nicobar Islands,363056.0,,5665.0
2021-04-26,Andaman and Nicobar Islands,364735.0,,5716.0
2021-04-27,Andaman and Nicobar Islands,366683.0,,5764.0
2021-04-28,Andaman and Nicobar Islands,367689.0,,5816.0
2021-04-29,Andaman and Nicobar Islands,368945.0,,5875.0
2021-04-30,Andaman and Nicobar Islands,370896.0,,5949.0
2021-05-01,Andaman and Nicobar Islands,372214.0,,6046.0
2021-05-02,Andaman and Nicobar Islands,373007.0,,6084.0
2021-05-03,Andaman and Nicobar Islands,373785.0,,6150.0
2021-05-04,Andaman and Nicobar Islands,374428.0,,6181.0
2021-05-05,Andaman and Nicobar Islands,375095.0,,6223.0
2021-05-06,Andaman and Nicobar Islands,375477.0,,6255.0
2021-05-07,Andaman and Nicobar Islands,375967.0,,6311.0
2021-05-08,Andaman and Nicobar Islands,376536.0,,6341.0
2021-05-09,Andaman and Nicobar Islands,376933.0,,6367.0
2021-05-10,Andaman and Nicobar Islands,377293.0,,6398.0
2021-05-11,Andaman and Nicobar Islands,377516.0,,6426.0
2021-05-12,Andaman and Nicobar Islands,378060.0,,6470.0
2021-05-13,Andaman and Nicobar Islands,378462.0,,6510.0
2021-05-14,Andaman and Nicobar Islands,378887.0,,6542.0
2021-05-15,Andaman and Nicobar Islands,379096.0,,6568.0
2021-05-16,Andaman and Nicobar Islands,379674.0,,6603.0
2021-05-17,Andaman and Nicobar Islands,380102.0,,6638.0
2021-05-18,Andaman and Nicobar Islands,380395.0,,6674.0
2021-05-19,Andaman and Nicobar Islands,380853.0,,6709.0
2021-05-20,Andaman and Nicobar Islands,381349.0,,6758.0
2021-05-21,Andaman and Nicobar Islands,382015.0,,6789.0
2021-05-22,Andaman and Nicobar Islands,382640.0,,6820.0
2021-05-23,Andaman and Nicobar Islands,383265.0,,6844.0
2021-05-24,Andaman and Nicobar Islands,383396.0,,6853.0
2021-05-25,Andaman and Nicobar Islands,383727.0,,6878.0
2021-05-26,Andaman and Nicobar Islands,384188.0,,6901.0
2021-05-27,Andaman and Nicobar Islands,384528.0,,6917.0
2021-05-28,Andaman and Nicobar Islands,385020.0,,6936.0
2021-05-29,Andaman and Nicobar Islands,385564.0,,6964.0
2021-05-30,Andaman and Nicobar Islands,385988.0,,6984.0
2021-05-31,Andaman and Nicobar Islands,386613.0,,7005.0
2021-06-01,Andaman and Nicobar Islands,387348.0,,7018.0
2021-06-02,Andaman and Nicobar Islands,387871.0,,7043.0
2021-06-03,Andaman and Nicobar Islands,388486.0,,7070.0
2021-06-04,Andaman and Nicobar Islands,389152.0,,7088.0
2021-06-05,Andaman and Nicobar Islands,389785.0,,7105.0
2021-06-06,Andaman and Nicobar Islands,390574.0,,7119.0
2021-06-07,Andaman and Nicobar Islands,391273.0,,7131.0
2021-06-08,Andaman and Nicobar Islands,392095.0,,7154.0
2021-06-09,Andaman and Nicobar Islands,392974.0,,7168.0
2021-06-10,Andaman and Nicobar Islands,393692.0,,7197.0
2021-06-11,Andaman and Nicobar Islands,394822.0,,7233.0
2021-06-12,Andaman and Nicobar Islands,395624.0,,7243.0
2021-06-13,Andaman and Nicobar Islands,396534.0,,7261.0
2021-06-14,Andaman and Nicobar Islands,397190.0,,7269.0
2021-06-15,Andaman and Nicobar Islands,397953.0,,7280.0
2021-06-16,Andaman and Nicobar Islands,398852.0,,7306.0
2021-06-17,Andaman and Nicobar Islands,399580.0,,7335.0
2021-06-18,Andaman and Nicobar Islands,400211.0,,7363.0
2021-06-19,Andaman and Nicobar Islands,400997.0,,7394.0
2021-06-20,Andaman and Nicobar Islands,401769.0,,7406.0
2021-06-21,Andaman and Nicobar Islands,402629.0,,7415.0
2021-06-22,Andaman and Nicobar Islands,403616.0,,7425.0
2021-06-23,Andaman and Nicobar Islands,404494.0,,7438.0
2021-06-24,Andaman and Nicobar Islands,405197.0,,7440.0
2021-06-25,Andaman and Nicobar Islands,405887.0,,7441.0
2021-06-26,Andaman and Nicobar Islands,406529.0,,7446.0
2021-06-27,Andaman and Nicobar Islands,407488.0,,7455.0
2021-06-28,Andaman and Nicobar Islands,408220.0,,7462.0
2021-06-29,Andaman and Nicobar Islands,409212.0,,7466.0
2021-06-30,Andaman and Nicobar Islands,409890.0,,7467.0
2021-07-01,Andaman and Nicobar Islands,410741.0,,7469.0
2021-07-02,Andaman and Nicobar Islands,411442.0,,7475.0
2021-07-03,Andaman and Nicobar Islands,412361.0,,7478.0
2021-07-04,Andaman and Nicobar Islands,413316.0,,7482.0
2021-07-05,Andaman and Nicobar Islands,414166.0,,7482.0
2021-07-06,Andaman and Nicobar Islands,415066.0,,7487.0
2021-07-07,Andaman and Nicobar Islands,416065.0,,7491.0
2021-07-08,Andaman and Nicobar Islands,416815.0,,7492.0
2021-07-09,Andaman and Nicobar Islands,417598.0,,7492.0
2021-07-10,Andaman and Nicobar Islands,418550.0,,7492.0
2021-07-11,Andaman and Nicobar Islands,419287.0,,7492.0
2021-07-12,Andaman and Nicobar Islands,420157.0,,7493.0
2021-07-13,Andaman and Nicobar Islands,421108.0,,7496.0
2021-07-14,Andaman and Nicobar Islands,421940.0,,7499.0
2021-07-15,Andaman and Nicobar Islands,422876.0,,7501.0
2021-07-16,Andaman and Nicobar Islands,423910.0,,7505.0
2021-07-17,Andaman and Nicobar Islands,425268.0,,7506.0
2021-07-18,Andaman and Nicobar Islands,426511.0,,7510.0
2021-07-19,Andaman and Nicobar Islands,427711.0,,7516.0
2021-07-20,Andaman and Nicobar Islands,428751.0,,
2021-07-21,Andaman and Nicobar Islands,429739.0,,
2021-07-22,Andaman and Nicobar Islands,430415.0,,
2021-07-23,Andaman and Nicobar Islands,431486.0,,
2021-07-24,Andaman and Nicobar Islands,432627.0,,
2021-07-25,Andaman and Nicobar Islands,433596.0,,
2021-07-26,Andaman and Nicobar Islands,434929.0,,
2021-07-27,Andaman and Nicobar Islands,436240.0,,
