index	album	song_title	lyric	line_number	release_date
1	reputation	Look What You Made Me Do 	Look what you made me do	20	2017-08-25
1	reputation	Look What You Made Me Do 	Look what you just made me do	21	2017-08-25
1	reputation	Look What You Made Me Do 	Look what you just made me do	22	2017-08-25
1	reputation	Look What You Made Me Do 	[Verse 2]	23	2017-08-25
1	reputation	Look What You Made Me Do 	I don't like your kingdom keys	24	2017-08-25
1	reputation	Look What You Made Me Do 	They once belonged to me	25	2017-08-25
1	reputation	Look What You Made Me Do 	You asked me for a place to sleep	26	2017-08-25
1	reputation	Look What You Made Me Do 	Locked me out and threw a feast (What?)	27	2017-08-25
1	reputation	Look What You Made Me Do 	The world moves on, another day, another drama, drama	28	2017-08-25
1	reputation	Look What You Made Me Do 	But not for me, not for me, all I think about is karma	29	2017-08-25
1	reputation	Look What You Made Me Do 	And then the world moves on, but one thing's for sure	30	2017-08-25
1	reputation	Look What You Made Me Do 	Maybe I got mine, but you'll all get yours	31	2017-08-25
1	reputation	Look What You Made Me Do 	[Pre-Chorus]	32	2017-08-25
1	reputation	Look What You Made Me Do 	But I got smarter, I got harder in the nick of time	33	2017-08-25
1	reputation	Look What You Made Me Do 	Honey, I rose up from the dead, I do it all the time	34	2017-08-25
1	reputation	Look What You Made Me Do 	I've got a list of names and yours is in red, underlined	35	2017-08-25
1	reputation	Look What You Made Me Do 	I check it once, then I check it twice, oh!	36	2017-08-25
1	reputation	Look What You Made Me Do 	[Chorus]	37	2017-08-25
1	reputation	Look What You Made Me Do 	Ooh, look what you made me do	38	2017-08-25
1	reputation	Look What You Made Me Do 	Look what you made me do	39	2017-08-25
1	reputation	Look What You Made Me Do 	Look what you just made me do	40	2017-08-25
1	reputation	Look What You Made Me Do 	Look what you just made me—	41	2017-08-25
1	reputation	Look What You Made Me Do 	Ooh, look what you made me do	42	2017-08-25
1	reputation	Look What You Made Me Do 	Look what you made me do	43	2017-08-25
1	reputation	Look What You Made Me Do 	Look what you just made me do	44	2017-08-25
1	reputation	Look What You Made Me Do 	Look what you just made me do	45	2017-08-25
1	reputation	Look What You Made Me Do 	[Bridge]	46	2017-08-25
1	reputation	Look What You Made Me Do 	I don't trust nobody and nobody trusts me	47	2017-08-25
1	reputation	Look What You Made Me Do 	I'll be the actress starring in your bad dreams	48	2017-08-25
1	reputation	Look What You Made Me Do 	I don't trust nobody and nobody trusts me	49	2017-08-25
1	reputation	Look What You Made Me Do 	I'll be the actress starring in your bad dreams	50	2017-08-25
1	reputation	Look What You Made Me Do 	I don't trust nobody and nobody trusts me	51	2017-08-25
1	reputation	Look What You Made Me Do 	I'll be the actress starring in your bad dreams	52	2017-08-25
1	reputation	Look What You Made Me Do 	I don't trust nobody and nobody trusts me	53	2017-08-25
1	reputation	Look What You Made Me Do 	I'll be the actress starring in your bad dreams	54	2017-08-25
1	reputation	Look What You Made Me Do 	(Ooh, look what you made me do	55	2017-08-25
1	reputation	Look What You Made Me Do 	Look what you made me do	56	2017-08-25
1	reputation	Look What You Made Me Do 	Look what you just made me do	57	2017-08-25
1	reputation	Look What You Made Me Do 	Look what you just made me—	58	2017-08-25
1	reputation	Look What You Made Me Do 	Ooh, look what you made me do	59	2017-08-25
1	reputation	Look What You Made Me Do 	Look what you made me do	60	2017-08-25
1	reputation	Look What You Made Me Do 	Look what you just made me—)	61	2017-08-25
1	reputation	Look What You Made Me Do 	"I'm sorry, the old Taylor can't come to the phone right now	62	2017-08-25
1	reputation	Look What You Made Me Do 	"Why? Oh, 'cause she's dead!" (Oh)	63	2017-08-25
1	reputation	Look What You Made Me Do 	[Chorus]	64	2017-08-25
1	reputation	Look What You Made Me Do 	Ooh, look what you made me do	65	2017-08-25
1	reputation	Look What You Made Me Do 	Look what you made me do	66	2017-08-25
1	reputation	Look What You Made Me Do 	Look what you just made me do	67	2017-08-25
1	reputation	Look What You Made Me Do 	Look what you just made me—	68	2017-08-25
1	reputation	Look What You Made Me Do 	Ooh, look what you made me do	69	2017-08-25
1	reputation	Look What You Made Me Do 	Look what you made me do	70	2017-08-25
1	reputation	Look What You Made Me Do 	Look what you just made me do	71	2017-08-25
1	reputation	Look What You Made Me Do 	Look what you just made me do	72	2017-08-25
1	reputation	Look What You Made Me Do 	Ooh, look what you made me do	73	2017-08-25
1	reputation	Look What You Made Me Do 	Look what you made me do	74	2017-08-25
1	reputation	Look What You Made Me Do 	Look what you just made me do	75	2017-08-25
1	reputation	Look What You Made Me Do 	Look what you just made me—	76	2017-08-25
1	reputation	Look What You Made Me Do 	Ooh, look what you made me do	77	2017-08-25
1	reputation	Look What You Made Me Do 	Look what you made me do	78	2017-08-25
1	reputation	Look What You Made Me Do 	Look what you just made me do	79	2017-08-25
1	reputation	Look What You Made Me Do 	Look what you just made me do	80	2017-08-25
2	reputation	End Game  (Ft. Ed Sheeran & Future)	[Chorus: Taylor Swift & Future]	0	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	I wanna be your end game	1	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	I wanna be your first string	2	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	I wanna be your A-Team (Whoa, whoa, whoa)	3	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	I wanna be your end game, end game	4	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	[Post-Chorus: Taylor Swift & Future]	5	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	Big reputation, big reputation	6	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	Ooh, you and me, we got big reputations, ah	7	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	And you heard about me, ooh	8	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	I got some big enemies (Yeah)	9	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	Big reputation, big reputation	10	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	Ooh, you and me would be a big conversation, ah (Git, git)	11	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	And I heard about you, ooh (Yeah)	12	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	You like the bad ones, too	13	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	[Verse 1: Future]	14	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	You so dope, don't overdose, I’m so stoked, I need a toast	15	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	We do the most, I'm in the Ghost like I'm whippin’ a boat	16	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	I got a reputation, girl that don't precede me (Yeah)	17	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	I'm one call away whenever you need me (Yeah)	18	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	I'm in a G5 (Yeah), come to the A-Side (Yeah)	19	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	I got a bad boy persona, that's what they like (What they like)	20	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	You love it, I love it too 'cause you my type (You my type)	21	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	You hold me down and I protect you with my life	22	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	[Pre-Chorus: Taylor Swift & Future]	23	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	I don't wanna touch you, I don't wanna be	24	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	Just another ex-love you don’t wanna see	25	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	I don’t wanna miss you (I don't wanna miss you)	26	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	Like the other girls do	27	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	I don’t wanna hurt you, I just wanna be	28	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	Drinking on a beach with you all over me	29	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	I know what they all say (I know what they all say)	30	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	But I ain't tryna play	31	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	[Chorus: Taylor Swift]	32	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	I wanna be your end game (End game)	33	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	I wanna be your first string (First string)	34	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	I wanna be your A-Team (A-Team)	35	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	I wanna be your end game, end game	36	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	[Verse 2: Ed Sheeran]	37	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	Knew her when I was young, reconnected when we were little bit older	38	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	Both sprung, I got issues and chips on both of my shoulders	39	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	Reputation precedes me, in rumors, I'm knee-deep	40	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	The truth is, it's easier to ignore it, believe me	41	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	Even when we’d argue, we'd not do it for long	42	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	And you understand the good and bad end up in the song	43	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	For all your beautiful traits, and the way you do it with ease	44	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	For all my flaws, paranoia, and insecurities	45	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	I've made mistakes and made some choices, that's hard to deny	46	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	After the storm, something was born on the 4th of July	47	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	I've passed days without fun, this end game is the one	48	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	With four words on the tip of my tongue, I'll never say it	49	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	[Pre-Chorus: Taylor Swift]	50	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	I don't wanna touch you, I don't wanna be	51	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	Just another ex-love you don't wanna see	52	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	I don't wanna miss you (I don't wanna miss you)	53	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	Like the other girls do	54	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	I don't wanna hurt you, I just wanna be	55	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	Drinking on a beach with you all over me	56	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	I know what they all say, yeah	57	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	But I ain't tryna play	58	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	[Chorus: Taylor Swift]	59	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	I wanna be your end game (End game)	60	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	I wanna be your first string (Wanna be your first string)	61	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	I wanna be your A-Team (A-Team)	62	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	I wanna be your end game, end game	63	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	[Post-Chorus: Taylor Swift & Future]	64	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	Big reputation, big reputation	65	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	Ooh, you and me, we got big reputations, ah	66	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	And you heard about me, ooh	67	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	I got some big enemies	68	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	Hey, big reputation, big reputation	69	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	Ooh, you and me would be a big conversation, ah	70	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	And I heard about you, ooh	71	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	You like the bad ones, too	72	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	[Verse 3: Taylor Swift]	73	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	I hit you like bang, we tried to forget it, but we just couldn't	74	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	And I bury hatchets, but I keep maps of where I put 'em	75	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	Reputation precedes me, they told you I'm crazy	76	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	I swear I don't love the drama, it loves me	77	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	And I can't let you go, your hand prints on my soul	78	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	It's like your eyes are liquor, it's like your body is gold	79	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	You've been calling my bluff on all my usual tricks	80	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	So here's the truth from my red lips	81	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	[Chorus: Taylor Swift, Future, & Ed Sheeran]	82	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	I wanna be your end game (End game)	83	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	I wanna be your first string (Me and you, first string)	84	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	I wanna be your A-Team (Be your A-Team now, A-Team)	85	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	I wanna be your end game, end game	86	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	I wanna be your end game (Oh, I do)	87	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	I wanna be your first string (First string)	88	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	I wanna be your A-Team (A-Team)	89	2017-11-10
2	reputation	End Game  (Ft. Ed Sheeran & Future)	I wanna be your end game, end game	90	2017-11-10
3	Lover	ME!  (Ft. Brendon Urie)	[Intro: Taylor Swift]	0	2019-04-26
3	Lover	ME!  (Ft. Brendon Urie)	I promise that you'll never find another like me	1	2019-04-26
3	Lover	ME!  (Ft. Brendon Urie)	[Verse 1: Taylor Swift]	2	2019-04-26
3	Lover	ME!  (Ft. Brendon Urie)	I know that I'm a handful, baby, uh	3	2019-04-26
3	Lover	ME!  (Ft. Brendon Urie)	I know I never think before I jump	4	2019-04-26
3	Lover	ME!  (Ft. Brendon Urie)	And you're the kind of guy the ladies want	5	2019-04-26
3	Lover	ME!  (Ft. Brendon Urie)	(And there's a lot of cool chicks out there)	6	2019-04-26
3	Lover	ME!  (Ft. Brendon Urie)	I know that I went psycho on the phone	7	2019-04-26
3	Lover	ME!  (Ft. Brendon Urie)	I never leave well enough alone	8	2019-04-26
3	Lover	ME!  (Ft. Brendon Urie)	And trouble's gonna follow where I go	9	2019-04-26
3	Lover	ME!  (Ft. Brendon Urie)	(And there's a lot of cool chicks out there)	10	2019-04-26
3	Lover	ME!  (Ft. Brendon Urie)	[Pre-Chorus: Taylor Swift]	11	2019-04-26
3	Lover	ME!  (Ft. Brendon Urie)	But one of these things is not like the others	12	2019-04-26
3	Lover	ME!  (Ft. Brendon Urie)	Like a rainbow with all of the colors	13	2019-04-26
3	Lover	ME!  (Ft. Brendon Urie)	Baby doll, when it comes to a lover	14	2019-04-26
3	Lover	ME!  (Ft. Brendon Urie)	I promise that you'll never find another like	15	2019-04-26
3	Lover	ME!  (Ft. Brendon Urie)	[Chorus: Taylor Swift]	16	2019-04-26
3	Lover	ME!  (Ft. Brendon Urie)	Me-e-e, ooh-ooh-ooh-ooh	17	2019-04-26
3	Lover	ME!  (Ft. Brendon Urie)	I'm the only one of me	18	2019-04-26
3	Lover	ME!  (Ft. Brendon Urie)	Baby, that's the fun of me	19	2019-04-26
3	Lover	ME!  (Ft. Brendon Urie)	Eeh-eeh-eeh, ooh-ooh-ooh-ooh	20	2019-04-26
3	Lover	ME!  (Ft. Brendon Urie)	You're the only one of you	21	2019-04-26
3	Lover	ME!  (Ft. Brendon Urie)	Baby, that's the fun of you	22	2019-04-26
3	Lover	ME!  (Ft. Brendon Urie)	And I promise that nobody's gonna love you like me-e-e	23	2019-04-26
3	Lover	ME!  (Ft. Brendon Urie)	[Verse 2: Brendon Urie & Taylor Swift]	24	2019-04-26
3	Lover	ME!  (Ft. Brendon Urie)	I know I tend to make it about me	25	2019-04-26
3	Lover	ME!  (Ft. Brendon Urie)	I know you never get just what you see	26	2019-04-26
3	Lover	ME!  (Ft. Brendon Urie)	But I will never bore you, baby	27	2019-04-26
3	Lover	ME!  (Ft. Brendon Urie)	(And there's a lot of lame guys out there)	28	2019-04-26
3	Lover	ME!  (Ft. Brendon Urie)	And when we had that fight out in the rain	29	2019-04-26
3	Lover	ME!  (Ft. Brendon Urie)	You ran after me and called my name	30	2019-04-26
3	Lover	ME!  (Ft. Brendon Urie)	I never wanna see you walk away	31	2019-04-26
3	Lover	ME!  (Ft. Brendon Urie)	(And there's a lot of lame guys out there)	32	2019-04-26
3	Lover	ME!  (Ft. Brendon Urie)	[Pre-Chorus: Taylor Swift & Brendon Urie, Brendon Urie]	33	2019-04-26
3	Lover	ME!  (Ft. Brendon Urie)	'Cause one of these things is not like the others	34	2019-04-26
3	Lover	ME!  (Ft. Brendon Urie)	Livin' in winter, I am your summer	35	2019-04-26
3	Lover	ME!  (Ft. Brendon Urie)	Baby doll, when it comes to a lover	36	2019-04-26
3	Lover	ME!  (Ft. Brendon Urie)	I promise that you'll never find another like	37	2019-04-26
3	Lover	ME!  (Ft. Brendon Urie)	[Chorus: Brendon Urie, Taylor Swift & Brendon Urie]	38	2019-04-26
3	Lover	ME!  (Ft. Brendon Urie)	Me-e-e, ooh-ooh-ooh-ooh	39	2019-04-26
3	Lover	ME!  (Ft. Brendon Urie)	I'm the only one of me	40	2019-04-26
3	Lover	ME!  (Ft. Brendon Urie)	Let me keep you company	41	2019-04-26
3	Lover	ME!  (Ft. Brendon Urie)	Eeh-eeh-eeh, ooh-ooh-ooh-ooh	42	2019-04-26
3	Lover	ME!  (Ft. Brendon Urie)	You're the only one of you	43	2019-04-26
3	Lover	ME!  (Ft. Brendon Urie)	Baby, that's the fun of you	44	2019-04-26
3	Lover	ME!  (Ft. Brendon Urie)	And I promise that nobody's gonna love you like me-e-e	45	2019-04-26
3	Lover	ME!  (Ft. Brendon Urie)	[Bridge: Brendon Urie, Taylor Swift & Both]	46	2019-04-26
3	Lover	ME!  (Ft. Brendon Urie)	Girl, there ain't no I in "team"	47	2019-04-26
3	Lover	ME!  (Ft. Brendon Urie)	But you know there is a "me"	48	2019-04-26
3	Lover	ME!  (Ft. Brendon Urie)	Strike the band up, 1, 2, 3	49	2019-04-26
3	Lover	ME!  (Ft. Brendon Urie)	I promise that you'll never find another like me	50	2019-04-26
3	Lover	ME!  (Ft. Brendon Urie)	Girl, there ain't no I in "team"	51	2019-04-26
3	Lover	ME!  (Ft. Brendon Urie)	But you know there is a "me"	52	2019-04-26
3	Lover	ME!  (Ft. Brendon Urie)	And you can't spell "awesome" without "me"	53	2019-04-26
3	Lover	ME!  (Ft. Brendon Urie)	I promise that you'll never find another like	54	2019-04-26
3	Lover	ME!  (Ft. Brendon Urie)	[Chorus: Both, Taylor Swift & Brendon Urie]	55	2019-04-26
3	Lover	ME!  (Ft. Brendon Urie)	Me-e-e (Yeah), ooh-ooh-ooh-ooh (And I want ya, baby)	56	2019-04-26
3	Lover	ME!  (Ft. Brendon Urie)	I'm the only one of me (I'm the only one of me)	57	2019-04-26
3	Lover	ME!  (Ft. Brendon Urie)	Baby, that's the fun of me (Baby, that's the fun of me)	58	2019-04-26
3	Lover	ME!  (Ft. Brendon Urie)	Eeh-eeh-eeh, ooh-ooh-ooh-ooh (Oh)	59	2019-04-26
3	Lover	ME!  (Ft. Brendon Urie)	You're the only one of you (Oh)	60	2019-04-26
3	Lover	ME!  (Ft. Brendon Urie)	Baby, that's the fun of you	61	2019-04-26
3	Lover	ME!  (Ft. Brendon Urie)	And I promise that nobody's gonna love you like me-e-e	62	2019-04-26
3	Lover	ME!  (Ft. Brendon Urie)	[Outro: Brendon Urie, Taylor Swift & Both]	63	2019-04-26
3	Lover	ME!  (Ft. Brendon Urie)	Girl, there ain't no I in "team" (Ooh-ooh-ooh-ooh)	64	2019-04-26
3	Lover	ME!  (Ft. Brendon Urie)	But you know there is a "me"	65	2019-04-26
3	Lover	ME!  (Ft. Brendon Urie)	I'm the only one of me (Oh-oh)	66	2019-04-26
3	Lover	ME!  (Ft. Brendon Urie)	Baby, that's the fun of me	67	2019-04-26
3	Lover	ME!  (Ft. Brendon Urie)	(Eeh-eeh-eeh, ooh-ooh-ooh-ooh)	68	2019-04-26
3	Lover	ME!  (Ft. Brendon Urie)	Strike the band up, 1, 2, 3	69	2019-04-26
3	Lover	ME!  (Ft. Brendon Urie)	You can't spell "awesome" without "me"	70	2019-04-26
3	Lover	ME!  (Ft. Brendon Urie)	You're the only one of you	71	2019-04-26
3	Lover	ME!  (Ft. Brendon Urie)	Baby, that's the fun of you	72	2019-04-26
3	Lover	ME!  (Ft. Brendon Urie)	And I promise that nobody's gonna love you like me-e-e	73	2019-04-26
4	Lover	You Need To Calm Down 	[Verse 1]	0	2019-06-14
4	Lover	You Need To Calm Down 	You are somebody that I don't know	1	2019-06-14
4	Lover	You Need To Calm Down 	But you're takin' shots at me like it's Patrón	2	2019-06-14
4	Lover	You Need To Calm Down 	And I'm just like, damn, it's 7 AM	3	2019-06-14
4	Lover	You Need To Calm Down 	Say it in the street, that's a knock-out	4	2019-06-14
4	Lover	You Need To Calm Down 	But you say it in a Tweet, that's a cop-out	5	2019-06-14
4	Lover	You Need To Calm Down 	And I'm just like, "Hey, are you okay?"	6	2019-06-14
4	Lover	You Need To Calm Down 	[Pre-Chorus]	7	2019-06-14
4	Lover	You Need To Calm Down 	And I ain't tryna mess with your self-expression	8	2019-06-14
4	Lover	You Need To Calm Down 	But I've learned a lesson that stressin' and obsessin' 'bout somebody else is no fun	9	2019-06-14
4	Lover	You Need To Calm Down 	And snakes and stones never broke my bones	10	2019-06-14
4	Lover	You Need To Calm Down 	[Chorus]	11	2019-06-14
4	Lover	You Need To Calm Down 	So oh-oh, oh-oh, oh-oh, oh-oh, oh-oh	12	2019-06-14
4	Lover	You Need To Calm Down 	You need to calm down, you're being too loud	13	2019-06-14
4	Lover	You Need To Calm Down 	And I'm just like oh-oh, oh-oh, oh-oh, oh-oh, oh-oh (Oh)	14	2019-06-14
4	Lover	You Need To Calm Down 	You need to just stop, like can you just not step on my gown?	15	2019-06-14
4	Lover	You Need To Calm Down 	You need to calm down	16	2019-06-14
4	Lover	You Need To Calm Down 	[Verse 2]	17	2019-06-14
4	Lover	You Need To Calm Down 	You are somebody that we don't know	18	2019-06-14
4	Lover	You Need To Calm Down 	But you're comin' at my friends like a missile	19	2019-06-14
4	Lover	You Need To Calm Down 	Why are you mad when you could be GLAAD? (You could be GLAAD)	20	2019-06-14
4	Lover	You Need To Calm Down 	Sunshine on the street at the parade	21	2019-06-14
